setupId,setupType,side,setupTime,sessionDate,sessionOpen,firstHourHigh,firstHourLow,firstHourMovePts,firstHourMoveAtr,strongBullBars,strongBearBars,entryPrice,stopPrice,riskPts,continuationMfePts,continuationMaePts,continuationEodPts,continuationMfeR,continuationMaeR,hit1RBeforeStop,continuationGrade,brooksQuality,trendContext,pullbackQuality,signalBarQuality,label,notes
20260226_1030_Short_001,FIRST_HOUR_CONTEXT,Short,2026-02-26 10:30,2026-02-26,6961.00,6961.25,6870.75,-87.75,-6.311,0,6,6873.25,6961.25,88.00,0.25,53.00,-47.75,0.003,0.602,false,failed-eod,,,,,,
20260227_1030_Long_002,FIRST_HOUR_CONTEXT,Long,2026-02-27 10:30,2026-02-27,6855.75,6880.00,6841.50,13.50,0.833,4,0,6869.25,6841.50,27.75,24.75,14.25,17.25,0.892,0.514,false,positive-eod,,,,,,
20260302_1030_Long_003,FIRST_HOUR_CONTEXT,Long,2026-03-02 10:30,2026-03-02,6811.00,6877.75,6804.50,43.00,2.302,4,1,6854.00,6804.50,49.50,52.75,5.75,31.50,1.066,0.116,true,hit-1r,,,,,,
20260303_1030_Short_004,FIRST_HOUR_CONTEXT,Short,2026-03-03 10:30,2026-03-03,6772.50,6794.00,6718.75,-39.75,-1.536,0,4,6732.75,6794.00,61.25,7.00,75.00,-88.25,0.114,1.224,false,stopped,,,,,,
20260304_1030_Long_005,FIRST_HOUR_CONTEXT,Long,2026-03-04 10:30,2026-03-04,6838.50,6886.25,6817.75,38.00,2.383,5,3,6876.50,6817.75,58.75,17.50,15.25,-5.75,0.298,0.260,false,failed-eod,,,,,,
20260305_1030_Short_006,FIRST_HOUR_CONTEXT,Short,2026-03-05 10:30,2026-03-05,6842.25,6877.50,6814.25,-19.00,-1.215,4,4,6823.25,6877.50,54.25,46.25,24.25,-9.00,0.853,0.447,false,failed-eod,,,,,,
20260306_1030_Long_007,FIRST_HOUR_CONTEXT,Long,2026-03-06 10:30,2026-03-06,6752.25,6769.00,6715.75,15.25,0.719,4,3,6767.50,6715.75,51.75,13.00,38.25,-33.50,0.251,0.739,false,failed-eod,,,,,,
20260309_1030_Short_008,FIRST_HOUR_CONTEXT,Short,2026-03-09 10:30,2026-03-09,6681.50,6693.75,6641.00,-14.00,-0.666,4,3,6667.50,6693.75,26.25,2.50,27.75,-129.50,0.095,1.057,false,stopped,,,,,,
20260310_1030_Long_009,FIRST_HOUR_CONTEXT,Long,2026-03-10 10:30,2026-03-10,6795.00,6809.50,6765.00,12.50,0.884,4,2,6807.50,6765.00,42.50,44.50,3.75,-18.50,1.047,0.088,true,hit-1r,,,,,,
20260311_1030_Short_010,FIRST_HOUR_CONTEXT,Short,2026-03-11 10:30,2026-03-11,6792.50,6818.00,6768.50,-20.75,-1.465,2,2,6771.75,6818.00,46.25,22.00,31.75,-1.25,0.476,0.686,false,failed-eod,,,,,,
