"Name","NetR","MonthlyR","AvgR","Trades","TradesPerMonth","Wins","Stops","Timeouts","Touch1R","BacktestId"
"AM_long_min0p5_t1p5_5y","84.93","1.42","0.23","368","6.1","180","185","3","225","5ce0505338dff4e04f2e9e49331556fe"
"AM_long_min0p75_t1p5_5y","69.93","1.17","0.21","333","5.6","160","170","3","202","4b37aa4b8b8bafdfd3e7223f923a408f"
"AM_long_min0p5_t1p0_5y","69.24","1.15","0.19","368","6.1","218","149","1","225","2d639750418b82a85356190c04bf9bf5"
"AM_min0p5_t1p5_5y","67.92","1.13","0.1","673","11.2","295","374","4","370","aa807e3efc196d4680ca9dd54c7637fe"
"AM_long_min1p0_t1p5_5y","63.43","1.06","0.22","292","4.9","141","148","3","175","565796a74be45384aa41b43433cd2188"
"AM_long_min0p75_t1p0_5y","58.24","0.97","0.17","333","5.6","195","137","1","202","5245baa8555698bb88261fc0def94bae"
"AM_min0p75_t1p5_5y","55.92","0.93","0.09","615","10.2","267","344","4","334","a753e2576326ca64503713b3f6d6ec7d"
"AM_min1p0_t1p5_5y","52.42","0.87","0.1","536","8.9","234","298","4","289","f58097dfd6a66c12caea85a1f87454b9"
"AM_long_min0p5_t2p0_5y","49.12","0.82","0.13","368","6.1","136","226","6","225","7b10a280d286c3b778bd130152b54abc"
"AM_long_min1p0_t1p0_5y","45.24","0.75","0.15","292","4.9","168","123","1","175","6078281e9c685fef9ac9e8df35a5de7c"
"AM_min0p5_t2p0_5y","43.55","0.73","0.06","673","11.2","235","430","8","370","6665617369eddb867249d3ac33436097"
"AM_long_min1p0_t2p0_5y","41.12","0.69","0.14","292","4.9","108","178","6","175","357d5e5d96cf28132997a2126fad3c13"
"AM_min1p0_t2p0_5y","39.55","0.66","0.07","536","8.9","188","340","8","289","a0bdea080e71845ebdbcb4627153b05f"
"AM_long_min0p75_t2p0_5y","39.12","0.65","0.12","333","5.6","121","206","6","202","313a3945400cea313636530cef39ebba"
"AM_min0p5_t1p0_5y","38.24","0.64","0.06","673","11.2","355","317","1","370","5d6e256a2dbe7354b078fbfac488bffb"
"AM_min0p75_t2p0_5y","32.55","0.54","0.05","615","10.2","212","395","8","334","06b1023818b754eb5aa0ac3bc3454af8"
"AM_min0p75_t1p0_5y","30.24","0.5","0.05","615","10.2","322","292","1","334","2cd5e6e3b11ed2e40ed5d0e557dc2068"
"AM_min1p0_t1p0_5y","21.24","0.35","0.04","536","8.9","278","257","1","289","118cc44728f9ab184dded3020d5159a5"
