"variant","side","targetR","roomMaxR","triggered","tradesPerMonth","wins","stops","timeouts","touch1R","netR","avgR","backtestId"
"long_room_max_0p25_target_2p00_hold24_block13_5y","long","2","0.25","260","4.3","76","118","66","141","75.69","0.29","034b33d56a0b68629858497601f5174b"
"long_room_max_0p50_target_2p00_hold24_block13_5y","long","2","0.5","401","6.7","114","197","90","205","84.29","0.21","e18f7ef58fc490266743e5ec5c1cd2c3"
"room_max_0p25_target_2p00_hold24_block13_short11_5y","both","2","0.25","403","6.7","111","196","96","209","79.71","0.2","0b6735e6a5b409bd57fcd2526badb81c"
"room_max_0p50_target_2p00_hold24_block13_short11_5y","both","2","0.5","623","10.4","168","325","130","308","85.46","0.14","9958c5ddcac0accd45383509a0dd32af"
"room_max_1p00_target_2p00_hold24_block13_short11_5y","both","2","1","893","14.9","229","486","178","440","68.65","0.08","c968c32c4415d2fcdacf9c13964eca57"
"target_0p50_hold24_block13_short11_5y","both","0.5",,"1353","22.6","892","436","25","146","6.68","0","a0bd9daf6a37fdf1b8397f7106790dc6"
"target_0p75_hold24_block13_short11_5y","both","0.75",,"1315","21.9","735","531","49","293","15.4","0.01","2d55ac85cf13c546890c44ec7dd92d21"
"target_1p00_hold24_block13_short11_5y","both","1",,"1287","21.4","610","592","85","613","18.15","0.01","7362b569e081cc44cf7c555d341f28db"
"target_1p25_hold24_block13_short11_5y","both","1.25",,"1267","21.1","502","646","119","599","-3.94","-0","e4b6074f2017c0d49302eb992e4bddd6"
"target_1p50_hold24_block13_short11_5y","both","1.5",,"1253","20.9","413","672","168","590","-8.63","-0.01","7598f424a786ed1d752fe86278028765"
"target_2p00_hold24_block13_short11_5y","both","2",,"1218","20.3","296","682","240","575","34.37","0.03","76f63e2d83f585ebd0194570e6711fe5"
