"Name","NetR","MonthlyR","AvgR","Trades","TradesPerMonth","Wins","Stops","Timeouts","Touch1R","BacktestId"
"OA_acc_15m_both_t2_h24_r1p5_up_5y","37.21","0.62","0.04","846","14.1","275","531","40","488","09177accb5841e33d8385f173f29217f"
"OA_15m_accepted_5y","23.31","0.39","0.02","1096","18.3","344","692","60","629","6a5f0ea765a141c498be4f6ce4ca15da"
"OA_30m_accepted_5y","18.63","0.31","0.02","905","15.1","281","573","51","498","bff74a4c0bed4409e80ff88c2d72dbe8"
"OA_acc_15m_short_t2_h24_r1p5_up_5y","13.07","0.22","0.03","417","7","136","267","14","233","459621c998b78aa796dc054351b3e607"
"OA_acc_15m_both_t2_h24_r0p6_1p0_5y","12.34","0.21","0.24","52","0.9","19","28","5","32","1ba49422a01ad9ab019ae1ad2bfd4b8f"
"OA_acc_15m_short_t2_h24_r0p6_1p0_5y","10.18","0.17","0.3","34","0.6","14","18","2","21","0020f0da0bdd4b019307e4f74c839a10"
"OA_15m_both_5y","5.23","0.09","0","1258","21","396","815","47","712","17e16b2b910ac762b33829db07e938ad"
"OA_acc_15m_short_t2_h24_r0p0_0p6_5y","2","0.03","2","1","0","1","0","0","1","e4fa5d5e86cd71c53701c02461bf95e7"
"OA_acc_15m_both_t2_h24_r0p0_0p6_5y","1.46","0.02","0.73","2","0","1","0","1","1","1215c32b30f1d0878cc9043eb868bc5b"
"OA_acc_15m_short_t2_h24_r1p0_1p5_5y","-11.71","-0.2","-0.06","212","3.5","60","137","15","125","3c723c655f496d594ab68d35873919c4"
"OA_acc_15m_short_t1p5_h12_5y","-12.69","-0.21","-0.02","564","9.4","205","326","33","322","4adbda8dd50bfd9103dcfc9fa200c365"
"OA_acc_15m_both_t2_h24_r1p0_1p5_5y","-18.65","-0.31","-0.05","385","6.4","107","248","30","213","ee5d9f8298f2ad78f579c448c4c80b0c"
"OA_acc_30m_long_t1p5_h12_5y","-19.54","-0.33","-0.04","494","8.2","168","282","44","263","935a07c572225aa6eacf871eaefdbcde"
"OA_acc_30m_short_t1p5_h12_5y","-21.49","-0.36","-0.05","430","7.2","151","254","25","236","d40f0e8327e625ed4edfd62074028ae6"
"OA_15m_failed_5y","-24.05","-0.4","-0.03","911","15.2","273","596","42","489","d4d9b9db11c41fc97775a8a68e223548"
"OA_acc_15m_long_t1p5_h12_5y","-34.07","-0.57","-0.05","621","10.4","210","358","53","346","a896d9e1d53b7aa782874af355b9001b"
"OA_acc_15m_both_t1p5_h12_5y","-36.98","-0.62","-0.03","1096","18.3","387","629","80","621","589f726ff7c87fa593f4c61015e9c3b6"
"OA_acc_15m_short_t1p0_h12_5y","-39.76","-0.66","-0.07","564","9.4","256","294","14","322","a53e4fe77c4c9432d8e51b71bb58d005"
"OA_acc_15m_long_t1p0_h12_5y","-59.09","-0.98","-0.1","621","10.4","270","326","25","346","a896dba374028962bade66a538a5d415"
"OA_acc_30m_both_t1p0_h12_5y","-63.01","-1.05","-0.07","905","15.1","406","469","30","488","0e5f863ac2f5ee91ca7c8e0c92af8a4a"
"OA_acc_15m_both_t1p0_h12_5y","-91.43","-1.52","-0.08","1096","18.3","487","573","36","621","4e55d4df2d281ba4da0e4cc9aa7fc65b"
"OA_30m_both_5y","-118.69","-1.98","-0.1","1199","20","329","809","61","622","d466ba496ad9c304eec5f6331717d1ad"
"OA_30m_failed_5y","-127.62","-2.13","-0.15","852","14.2","218","588","46","422","04d3541f604015e9edced2bb646d5a62"
