"Variant","Period","NetR","AvgR","Trades","Wins","Stops","Expired","SameBarBoth","Url","File"
"Limit both","20250423_20250623","23.5","0.15","154","71","83","200","1","https://www.quantconnect.com/project/30609547/1f058615374275af946b7a771a2528b4","sweepseq_limit_both_20250423_20250623.txt"
"Limit both","20250623_20250823","23","0.14","162","74","88","169","0","https://www.quantconnect.com/project/30609547/227165a91927968735513ed32340ee4f","sweepseq_limit_both_20250623_20250823.txt"
"Limit both","20250823_20251023","15","0.09","160","70","90","211","0","https://www.quantconnect.com/project/30609547/5a828173d320249639fc704ed85d3b24","sweepseq_limit_both_20250823_20251023.txt"
"Limit both","20251023_20251223","44.5","0.29","153","79","74","180","0","https://www.quantconnect.com/project/30609547/f25a6443579b5db1466c7452eb393484","sweepseq_limit_both_20251023_20251223.txt"
"Limit both","20251223_20260223","14","0.09","151","66","85","186","0","https://www.quantconnect.com/project/30609547/b7999c0266ef1cb9d61dc25de9c6b39f","sweepseq_limit_both_20251223_20260223.txt"
"Limit both","20260223_20260423","25","0.17","150","70","80","263","1","https://www.quantconnect.com/project/30609547/bfc9402a8cf4917565d8bdda554206b4","sweepseq_limit_both_20260223_20260423.txt"
"Limit short","20250423_20250623","19.5","0.23","83","41","42","80","0","https://www.quantconnect.com/project/30609547/69a99bb1b890693058cd2798d6f37aa4","sweepseq_limit_short_20250423_20250623.txt"
"Limit short","20250623_20250823","18.5","0.21","89","43","46","79","0","https://www.quantconnect.com/project/30609547/2a98b7fa536fc841489c22fef2d64309","sweepseq_limit_short_20250623_20250823.txt"
"Limit short","20250823_20251023","-1","-0.01","86","34","52","95","0","https://www.quantconnect.com/project/30609547/1ce92a4ca0e04da7197a2a8da95adb77","sweepseq_limit_short_20250823_20251023.txt"
"Limit short","20251023_20251223","18.5","0.23","79","39","40","77","1","https://www.quantconnect.com/project/30609547/fc840d35ce2c801994217ce74fd6409d","sweepseq_limit_short_20251023_20251223.txt"
"Limit short","20251223_20260223","6","0.08","79","34","45","99","0","https://www.quantconnect.com/project/30609547/bf795b12826584b621b76976d56c4bc1","sweepseq_limit_short_20251223_20260223.txt"
"Limit short","20260223_20260423","16.5","0.23","71","35","36","152","0","https://www.quantconnect.com/project/30609547/b56baf1eb6ece1ee53bfc8aba2f2a245","sweepseq_limit_short_20260223_20260423.txt"
